date,return,raw
2016-01-05,0.004227336777829967,4276.0
2016-01-06,-0.01216089803554724,4224.0
2016-01-07,0.00023674242424242425,4225.0
2016-01-08,-0.01136094674556213,4177.0
2016-01-12,-0.03279865932487431,4040.0
2016-01-13,0.04950495049504951,4240.0
2016-01-14,-0.007075471698113208,4210.0
2016-01-15,0.032541567695962,4347.0
2016-01-18,0.002300437083045779,4357.0
2016-01-19,-0.008492081707596971,4320.0
2016-01-20,-0.026157407407407407,4207.0
2016-01-21,-0.0009507962918944616,4203.0
2016-01-22,0.024506305020223648,4306.0
2016-01-25,-0.003947979563399907,4289.0
2016-01-26,-0.006295173700163208,4262.0
2016-01-27,0.02017832003754106,4348.0
2016-01-28,0.015869365225390984,4417.0
2016-01-29,0.013357482454154404,4476.0
2016-02-01,-0.05116175156389634,4247.0
2016-02-02,0.012950317871438662,4302.0
2016-02-03,-0.00604370060437006,4276.0
2016-02-04,-0.02362020579981291,4175.0
2016-02-05,-0.0237125748502994,4076.0
2016-02-08,0.015947006869479884,4141.0
2016-02-09,-0.028737020043467763,4022.0
2016-02-10,-0.0382894082545997,3868.0
2016-02-12,-0.045501551189245086,3692.0
2016-02-15,0.10021668472372698,4062.0
2016-02-16,-0.028311176760216644,3947.0
2016-02-17,0.015201418799087915,4007.0
2016-02-18,-0.01697030197154979,3939.0
2016-02-19,0.00787001777100787,3970.0
2016-02-22,0.05591939546599496,4192.0
2016-02-23,-0.011688931297709924,4143.0
2016-02-24,-0.004344677769732078,4125.0
2016-02-25,0.01090909090909091,4170.0
2016-02-26,-0.00023980815347721823,4169.0
2016-02-29,-0.030942672103621973,4040.0
2016-03-01,0.006435643564356435,4066.0
2016-03-02,0.01819970486965076,4140.0
2016-03-03,-0.021980676328502414,4049.0
2016-03-04,0.018523092121511483,4124.0
2016-03-07,-0.007759456838021339,4092.0
2016-03-08,-0.007575757575757576,4061.0
2016-03-09,-0.027333169170155134,3950.0
2016-03-10,0.013417721518987341,4003.0
2016-03-11,0.013240069947539346,4056.0
2016-03-14,0.0034516765285996054,4070.0
2016-03-15,0.007125307125307125,4099.0
2016-03-16,0.012198097096852892,4149.0
2016-03-17,-0.01373825018076645,4092.0
2016-03-18,0.0004887585532746823,4094.0
2016-03-22,0.012212994626282364,4144.0
2016-03-23,0.00723938223938224,4174.0
2016-03-24,0.01892668902731193,4253.0
2016-03-25,-0.008229485069362802,4218.0
2016-03-28,0.007112375533428165,4248.0
2016-03-29,-0.0160075329566855,4180.0
2016-03-30,-0.003110047846889952,4167.0
2016-03-31,-0.01079913606911447,4122.0
2016-04-01,-0.01722464822901504,4051.0
2016-04-04,-0.010120957788200444,4010.0
2016-04-05,-0.02369077306733167,3915.0
2016-04-06,0.020434227330779056,3995.0
2016-04-07,0.0022528160200250315,4004.0
2016-04-08,0.004495504495504496,4022.0
2016-04-11,0.008950770760815515,4058.0
2016-04-12,-0.0049285362247412515,4038.0
2016-04-13,0.010401188707280832,4080.0
2016-04-14,0.01715686274509804,4150.0
2016-04-15,0.004096385542168675,4167.0
2016-04-18,-0.0251979841612671,4062.0
2016-04-19,0.019694731659281144,4142.0
2016-04-20,-0.009657170449058426,4102.0
2016-04-21,0.0014627011214041932,4108.0
2016-04-22,-0.0024342745861733205,4098.0
2016-04-25,-0.00854075158613958,4063.0
2016-04-26,0.002215111986217081,4072.0
2016-04-27,-0.009086444007858546,4035.0
2016-04-28,-0.020322180916976455,3953.0
2016-05-02,-0.023526435618517583,3860.0
2016-05-06,0.01994818652849741,3937.0
2016-05-09,-0.000254000508001016,3936.0
2016-05-10,0.027439024390243903,4044.0
2016-05-11,-0.004451038575667656,4026.0
2016-05-12,-0.007948335817188276,3994.0
2016-05-13,-0.022784176264396595,3903.0
2016-05-16,-0.009736100435562388,3865.0
2016-05-17,-0.0033635187580853816,3852.0
2016-05-18,0.0,3852.0
2016-05-19,-0.008307372793354102,3820.0
2016-05-20,-0.012041884816753926,3774.0
2016-05-23,-0.006094329623741388,3751.0
2016-05-24,0.005598507064782724,3772.0
2016-05-25,0.015376458112407211,3830.0
2016-05-26,0.00835509138381201,3862.0
2016-05-27,-0.006214396685655101,3838.0
2016-05-30,-0.008858780614903595,3804.0
2016-05-31,-0.0007886435331230284,3801.0
2016-06-01,-0.016574585635359115,3738.0
2016-06-02,-0.030230069555912252,3625.0
2016-06-03,0.001379310344827586,3630.0
2016-06-06,-0.0013774104683195593,3625.0
2016-06-07,-0.02372413793103448,3539.0
2016-06-08,0.022605255721955354,3619.0
2016-06-09,-0.02321083172147002,3535.0
2016-06-10,0.008203677510608205,3564.0
2016-06-13,-0.026374859708193043,3470.0
2016-06-14,-0.009798270893371758,3436.0
2016-06-15,-0.004365541327124563,3421.0
2016-06-16,-0.026308097047646885,3331.0
2016-06-17,0.006004202942059442,3351.0
2016-06-20,0.008057296329453895,3378.0
2016-06-21,0.012433392539964476,3420.0
2016-06-22,-0.005555555555555556,3401.0
2016-06-23,0.006762716847985887,3424.0
2016-06-24,-0.07359813084112149,3172.0
2016-06-27,0.029634300126103404,3266.0
2016-06-28,-0.001837109614206981,3260.0
2016-06-29,0.017791411042944787,3318.0
2016-06-30,-0.007836045810729355,3292.0
2016-07-01,-0.025820170109356014,3207.0
2016-07-04,-0.004989086373557842,3191.0
2016-07-05,0.00407395800689439,3204.0
2016-07-06,-0.03932584269662921,3078.0
2016-07-07,-0.003248862897985705,3068.0
2016-07-08,-0.01499348109517601,3022.0
2016-07-11,0.02614162806088683,3101.0
2016-07-12,0.0454692034827475,3242.0
